key,en,zh,zh_TW
Title,Gore Factory,凌遲廠,凌迟厂
Settings,Settings,選項,选项
MainMenu,Main Menu,主選單,主选单
Play,Play,開始遊戲,开始游戏
ReadyToDie,Ready to die?,準備好去死嗎？,准备好去死吗？
Quit,Quit,退出,退出
QuitPrompt1,Are you sure you want to quit?,確定要退出嗎？,确定要退出吗？
QuitPrompt2,You sure?,確定嗎？,确定吗？
Die,Die,死掉,死掉
MasterVolume,Master,全局音量,全局音量
MusicVolume,Music,背景音樂,背景音乐
SFXVolume,SFX,音效音量,音效音量
DialogueVolume,Dialogue,台詞音量,台词音量
Locale,Locale,語言,语言
Language,English,繁體中文,简体中文
WinScreen,You got out…this time.,你......這次逃開了。,你......这次逃开了。
Controls,Controls,控制,控制
Interact,Interact,互動,互动
PickUp,Pick up,拿起來,拿起来
Move,Move,走路,走路
WSDAToMove,WSDA to Move,WSDA走路,WSDA走路
Crouch,Crouch,蹲下,蹲下
ControlForCrouch,CTRL for Crouch,CTRL蹲下,CTRL蹲下
Sprint,Sprint,衝刺,冲刺
Use,Use,使用,使用
UseItem,Use Item,使用事務,使用事物
LeftClick,Left-click,左點擊,左点击
Talisman,Talisman,符,符
UseTalisman,Use Talisman,使用符,使用符
Activate,Activate,啟動,启动
Scan,Scan,掃描,扫描
ClickToUse,Left Click to Use,按左邊點擊使用,按左边点击使用
ClickToUseTalisman,Left Click to Use Talisman,按左邊點擊使用符,按左边点击使用符
Cancel,Cancel,取消,取消
Stop,Stop,停止,停止
End,End,結束,结束
RightClick,Right Click,右邊點擊,右边点击
RightClickCancel,Right Click to Cancel,右邊點選取消,右边点击取消
RightClickStop,Right Click to Stop,右邊點擊停止,右边点击停止
RightClickEnd,Right Click to End,右邊點擊結束,右边点击结束
Throw,Throw,丢,丢
ThrowRice,Throw Rice,散米,散米
FThrowRice,F to Throw Rice,按F散米,按F散米
Take,Take,拿起來,拿起来
TakeRice,Take Rice,拿起米,拿起米
Camera,Camera,相機,相机
MoveCamera,Move Camera,移動相機,移动相机
Credits,Credits,製作群,制作群
Return,Return,繼續遊戲,继续游戏
LeftStick,Left Stick,左柄,左柄
RightStick,Right Stick,右柄,右柄
MoveLS,Move LS,移動左柄,移动左柄
MoveRS,Move RS,移動右柄,移动右柄
LeftButton,Left Button,LB,RB
RightButton,Right Button,RB,RB
Inverted,Inverted,倒置,倒置
InvertedControls,Inverted Controls,倒置控制,倒置控制
StartButton,Start,開始,开始
BackButton,Back,返回,返回
Mouse,Mouse,滑鼠,鼠标
MouseWheel,Mouse Wheel,滑鼠輪子,鼠标轮子
SpaceBar,Space Bar,空格鍵,空格键
On,On,開,开
Off,Off,關,关
Close,Close,關閉,关闭
Deactivate,Deactivate,取消啟動,取消启动
WakeUp,Wake Up,清醒,清醒
Subtitles,Subtitles,字幕,字幕
InventoryDocument,Records\nShipment #24ZXXX\nXue Yunheng\nShen Qing\nLu Cheng\nXie Xuan\nYan Su\nLiu Xiao\nTotal 6 to be harvested\nOrgan count:\nHearts  6\nLungs  12\nKidneys 12\nLarge intestines 6\nSmall intestines 6\nLivers 6\nDestroy all identification.,記錄\n裝船\n雪運恆\n沈情\n陸城\n謝軒\n延蘇\n劉霄\n一共有6個等待收穫\n內臟數：\n心臟\n肺臟\n腎臟\n大肠\n小肠\n肝臟\n把所有身分證毀滅了。,记录\n装船\n雪运恒\n沈情\n陆城\n谢轩\n延苏\n刘霄\n一共有6个等待收获\n内脏数\n心脏\n肺脏\n肾脏\n大肠\n小肠\n肝脏\n把所有身份证毁灭了。
ShippingRecord,Shipment #42AXXX\nWeight: 58kg\nContents: [REDACTED]\n,裝船\n重量\n內容：【已編輯】\n,装船\n重量\n内容：【已编辑】\n
Note1,"Operations are running smoothly. If Mr Li is to be believed, our payout from this will be significant. I only hope he upholds his end of the deal… otherwise we’ll be in deep shit.",行動都順利的。李先生可信的話，這行動的獲利會非常大的。我只希望他履行協議，不然我們要陷入困境。,行动都顺利的。李先生可信的话，这行动的盈利会非常大的。我只希望他履行协议，不然我们要陷入困境。
Note2,"Bodies have been arriving in their dozens. Most of them in good condition; Mr Li’s guys know what they’re doing. That’s a relief for us, I guess. Far less chance of us getting caught that way.",幾十具屍體都陸續運抵。它們的情況大體挺好的；李先生的打手都熟練。我們能鬆一下；那麼，被抓住的機率就少多了。,几十具尸体都陆续运抵。它们的情况大体挺好的；李先生的打手都熟练。我们能松一下；那么，被抓住的机率就少多了。
Note3,"The project is coming along well. All necessary parts have been acquired; now the only question is assembly. The control talisman is the most vital part; without it, none of this will work.\nIt’s been a long time since I worked in the business of talismans; I can only hope my skills in drawing them are still up to par.",項目還順利的。所有必要的材料已經拿到了；眼下只剩下的問題就是裝配。控制符就是最重要的一部分。缺乏的話，這都行不動。,项目还顺利的。所有必要的材料已经被拿到了；眼下只剩下的问题就是装配。控制符就是最重要的一部分。缺乏的话，这都行不动。\n我很久没工作在画符的商业。我只希望我的手艺还行。
Note4,"The project is nearly completed, but I’ve a bad feeling. The closer we get to finishing, the higher the chance we’ll be discovered. I hate to think what would be worse – the police finding out, or Mr Li…",項目快完成了，但我有什麼不對勁的感覺。結果越靠近，被發現的機率越高。我不知道哪更壞的 – 被警察發現，還是李先生……,项目快完成了，但我有什么不对劲的感觉。结果越靠近，被发现的机率越高。我不知道哪更坏的 – 被警察发现，还是李先生……
